employer,num_workers
DELOITTE CONSULTING LLP,9577
CAPGEMINI AMERICA INC,7791
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,7478
PRICEWATERHOUSECOOPERS LLP,2142
DELOITTE & TOUCHE LLP,1905
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,1648
INFOSYS LIMITED,1588
WIPRO LIMITED,1457
"CYIENT, INC.",1302
BIRLASOFT INC,1265
TATA CONSULTANCY SERVICES LIMITED,1246
DELOITTE TAX LLP,1050
ACCENTURE LLP,948
IBM INDIA PRIVATE LIMITED,806
CSC COVANSYS CORPORATION,685
"HCL AMERICA, INC.",615
MINDTREE LIMITED,488
DELOITTE &AMP; TOUCHE LLP,480
SEARS HOLDINGS MANAGEMENT CORPORATION,478
"GRANDISON MANAGEMENT, INC.",470
"UCHICAGO ARGONNE, LLC",465
CAPGEMINI FINANCIAL SERVICES USA INC,438
ERNST & YOUNG U.S. LLP,387
DELOITTE TRANSACTIONS AND BUSINESS ANALYTICS LLP,375
"ITELLIGENCE, INC.",360
COMPUTER SCIENCES CORPORATION,331
MPHASIS CORPORATION,317
IGATE TECHNOLOGIES INC.,314
"FUJITSU AMERICA, INC.",301
MARVELL TECH LLC,283
HTC GLOBAL SERVICES INC.,276
THE UNIVERSITY OF CHICAGO,272
"YASH TECHNOLOGIES, INC.",269
"ZS ASSOCIATES, INC.",263
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",258
UNIVERSITY OF ILLINOIS,227
SYNTEL CONSULTING INC.,225
NORTHWESTERN UNIVERSITY,218
"A.T. KEARNEY, INC.",205
L&T TECHNOLOGY SERVICES LIMITED,202
"ORACLE AMERICA, INC.",189
UNIVERSITY OF ILLINOIS AT CHICAGO,179
SAPIENT CORPORATION,173
"MCKINSEY & COMPANY, INC. UNITED STATES",173
IBM CORPORATION,173
"HEXAWARE TECHNOLOGIES, INC.",172
DISCOVER PRODUCTS INC.,168
TRIESTEN TECHNOLOGIES LLC,166
MOTOROLA MOBILITY LLC,164
SOFTWARE TECHNOLOGY LABS INC,157
"ASPIRE SYSTEMS, INC.",154
PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,153
TEKLINK INTERNATIONAL INC.,150
PRESENCE SAINT FRANCIS HOSPITAL,150
"TECH MAHINDRA (AMERICAS),INC.",141
"NTT DATA, INC.",134
AIM BIG INC,123
VENSAR TECHNOLOGY INC,120
"DIONA (US), INC.",120
NEO PRISM SOLUTIONS LLC,114
"FISERV GLOBAL SERVICES, INC.",105
KATALYST TECHNOLOGIES INC,103
ABBVIE INC,101
RAISER TECHNOLOGIES INC,101
PRESENCE HOLY FAMILY MEDICAL CENTER,100
KPMG LLP,95
EMERGTECH BUSINESS SOLUTIONS INC,94
"ETEST IT, INC.",93
HEWLETT PACKARD ENTERPRISE COMPANY,90
"MORNINGSTAR, INC.",90
"BITWISE, INC.",89
XTREAM IT PEOPLE INC.,89
SOFTLABZ CORPORATION,89
ANDHUS TECHNOLOGIES INC,88
MEDCOMPS CORPORATION,87
LEX NIMBLE SOLUTIONS INC.,82
"AMERICLOUD SOLUTIONS, INC.",82
CATERPILLAR INC.,80
KFORCE INC.,80
AMERITECH GLOBAL INC,80
"AMERICAN IT RESOURCE GROUP, INC.",79
POLARIS CONSULTING AND SERVICES LTD,77
CAPITAL ONE SERVICES II LLC,77
"COMTEK, LLC",77
"CAREMARK, LLC",77
EASI LLC,76
CITADEL LLC,75
"TELECOM TECHNOLOGY SERVICES, INC",75
BANK OF AMERICA N.A.,73
LEAD IT CORPORATION,73
HEADSTRONG SERVICES LLC,71
"HP ENTERPRISE SERVICES, LLC",70
"EXUSIA, INC.",69
ORBITZ WORLDWIDE LLC,68
"HERE NORTH AMERICA, LLC",68
