employer,num_workers
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,465
"ORACLE AMERICA, INC.",73
DELOITTE CONSULTING LLP,70
CAPGEMINI AMERICA INC,60
MONTANA STATE UNIVERSITY,24
DELOITTE & TOUCHE LLP,15
THE UNIVERSITY OF MONTANA,14
APTTUS CORPORATION,10
"BENEFIS HEALTH SYSTEM, INC.",10
"NATIONAL INSTITUTES OF HEALTH, HHS",8
BILLINGS CLINIC,6
SAGITEC SOLUTIONS LLC,5
MONTANA TECH THE UNIVERSITY OF MONTANA,4
"INCEDO, INC.",4
UNIVERSITY OF GREAT FALLS,4
"COGENT HEALTHCARE OF MONTANA, P.C.",3
JONAM SYSTEMS INC,3
SAKS IT GROUP,2
"FAST ENTERPRISES, LLC",2
COMPUTEK SOULUTIONS INC,2
IBM INDIA PRIVATE LIMITED,2
"SAGITEC SOLUTIONS, LLC",2
NORTHEAST MONTANA HEALTH SERVICES,2
LAM INTERNATIONAL CORPORATION,2
"MANAGEMENT HEALTH SYSTEMS, INC.",2
CHOUTEAU COUNTY HOSPITAL DISTRICT,2
PERIGON INFOTECH INC,1
PHILLIPS 66 COMPANY,1
"PIONEER TECHNICAL SERVICES, INC.",1
PLASTICS DESIGN MANUFACTURE & MARKETING INC.,1
POLITICAL ECONOMY RESEARCH CENTER,1
POWELL COUNTY MEDICAL CENTER,1
RM OILFIELD SERVICES,1
RUNNING BEAR MEDIA LLC,1
"SAP AMERICA, INC.",1
SOFTOVAINC,1
"SOUTH SOUND INPATIENT PHYSICIANS, PLLC",1
SRISHTI TEK INC,1
SYSTEM SOFT TECHNOLOGIES LLC,1
TATA CONSULTANCY SERVICES LIMITED,1
"TECH MAHINDRA (AMERICAS),INC.",1
"TREBRO MANUFACTURING, INC.",1
UNITED IT SOLUTIONS INC,1
"ADVR, INC.",1
ZENITH SOFTWARE INC,1
"AON NATIONAL FLOOD SERVICES, INC.",1
"APPLIED MATERIALS, INC.",1
BIG SANDY MEDICAL CENTER,1
"BILLINGS FLYING SERVICE, INC.",1
CARROLL COLLEGE,1
CDM SMITH INC.,1
"CENTRAL MONTANA MEDICAL FACILITIES, INC.",1
"CENTRAL PLUMBING & HEATING, INC.",1
"COLUMBIA GRAIN, INC.",1
COOLSOFT LLC,1
CORIXA CORPORATION,1
DATAMANUSA LLC,1
"EBSOFT CONSULTING, INC.",1
"ESYSTEMS, INC.",1
"HDR ENGINEERING, INC.",1
HNEXUS LLC,1
HOLY ROSARY HEALTHCARE,1
"ITRACE FOUNDATION, INC.",1
JOSEPH EVE,1
MCCONNOR MEADE RISK MANAGEMENT LLC,1
"MEDICAL SCIENCE & COMPUTING, LLC",1
MID-RIVERS TELEPHONE COOPERATIVE INC.,1
MONTANA DEPARTMENT OF TRANSPORTATION,1
MONTANA TECH OF THE UNIVERSITY OF MONTANA,1
OVERWATCH SYSTEMS LIMITED,1
