employer,num_workers
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,316
"BENEFITALIGN, LLC",197
DELOITTE CONSULTING LLP,120
"LOS ALAMOS NATIONAL SECURITY, LLC",80
"HEALTH CAROUSEL, LLC",76
PRESBYTERIAN HEALTHCARE SERVICES,46
GALLUP MCKINLEY COUNTY PUBLIC SCHOOLS,42
"SPERIDIAN TECHNOLOGIES, LLC",40
UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CENTER,30
UNIVERSITY OF NEW MEXICO,27
INFOSYS LIMITED,26
NEW MEXICO STATE UNIVERSITY,24
"MANAGEMENT HEALTH SYSTEMS, INC.",16
SIERRA VISTA HOSPITAL,16
DELOITTE & TOUCHE LLP,15
NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,15
DEMING PUBLIC SCHOOLS,14
"APOGEE MEDICAL GROUP, NEW MEXICO, INC",12
SANDIA CORPORATION,12
"NMC, INC.",12
ZUNI PUBLIC SCHOOL DISTRICT #89,11
"GLOBAL TOUCHPOINTS, INC. DUNS# 13-8058305",11
CENTRAL CONSOLIDATED SCHOOL DISTRICT,10
THE MIND RESEARCH NETWORK,9
TECHNOSOFT CORPORATION,8
NEW MEXICO HIGHLANDS UNIVERSITY,8
"SMILESFOREVER, LLC",8
FAMILIA DENTAL CLOVIS LLC,8
BVM TECHNOLOGY ASSOCIATES INC,8
"LA CLINICA DE FAMILIA, INC.",8
"MASOUD KHORSAND-SAHBAIE, M.D., P.A.",7
"APOGEE MEDICAL GROUP, NEW MEXICO, INC.",7
WIPRO LIMITED,7
"THIRTHASOFT,LLC",6
SOFAST,6
"HOSPITALIST MEDICINE PHYSICIANS OF TEXAS, PLLC",5
FAMILIA DENTAL HOB LLC,5
"FLOW SCIENCE, INC.",5
FAST ENTERPRISES LLC,5
EASTERN NEW MEXICO UNIVERSITY,5
WESTERN NEW MEXICO UNIVERSITY,5
"CIBER, INC.",4
SANTA FE  PUBLIC SCHOOLS,4
SAN JUAN REGIONAL MEDICAL CENTER,4
FAMILIA DENTAL ROS LLC,4
NM PUBLIC EDUCATION DEPARTMENT,4
ESPANOLA PUBLIC SCHOOLS,4
BEN ARCHER HEALTH CENTER,4
"UNITED SUPERMARKETS, LLC",4
